"pomiar" "Szczep" "warunki"
"437" "Nie" "C" 1
"438" "Nie" "C" 1
"439" "Nie" "C" 1
"440" "Nie" "C" 1
"441" "Nie" "C" 1
"442" "NA" "C" 1
"443" "Nie" "C" 1
"444" "NA" "C" 1
"445" "NA" "C" 1
"446" "Nie" "C" 1
"447" "Może" "C" 1
"448" "Tak" "C" 1
"449" "Tak" "C" 1
"450" "Nie" "C" 1
"451" "Nie" "C" 1
"452" "Nie" "C" 1
"453" "Nie" "C" 1
"454" "Może" "C" 1
"455" "Nie" "C" 1
"456" "Nie" "C" 1
"457" "Nie" "C" 1
"458" "Nie" "C" 1
"459" "Tak" "C" 1
"460" "Nie" "C" 1
"461" "Nie" "C" 1
"462" "Nie" "C" 1
"463" "Nie" "C" 1
"464" "Może" "C" 1
"465" "Może" "C" 1
"466" "Nie" "C" 1
"467" "Może" "C" 1
"468" "Nie" "C" 1
"469" "Nie" "C" 1
"470" "Może" "C" 1
"471" "Nie" "C" 1
"472" "Nie" "C" 1
"473" "Nie" "C" 1
"474" "Może" "C" 1
"475" "Nie" "C" 1
"476" "Tak" "C" 1
"477" "Nie" "C" 1
"478" "Może" "C" 1
"479" "Nie" "C" 1
"480" "NA" "C" 1
"481" "Nie" "C" 1
"482" "Może" "C" 1
"483" "Nie" "C" 1
"484" "NA" "C" 1
"485" "Nie" "C" 1
"486" "Nie" "C" 1
"487" "Nie" "C" 1
"488" "Nie" "C" 1
"489" "Nie" "C" 1
"490" "Nie" "C" 1
"491" "Tak" "C" 1
"492" "Nie" "C" 1
"493" "Może" "C" 1
"494" "Może" "C" 1
"495" "Nie" "C" 1
"496" "Tak" "C" 1
"497" "NA" "C" 1
"498" "Nie" "C" 1
"499" "Może" "C" 1
"500" "Nie" "C" 1
"501" "Może" "C" 1
"502" "Nie" "C" 1
"503" "Nie" "C" 1
"504" "Nie" "C" 1
"505" "Nie" "C" 1
"506" "Nie" "C" 1
"507" "Nie" "C" 1
"508" "Nie" "C" 1
"509" "Może" "C" 1
"510" "Nie" "C" 1
"511" "NA" "C" 1
"512" "Tak" "C" 1
"513" "Nie" "C" 1
"514" "Nie" "C" 1
"515" "Nie" "C" 1
"516" "Nie" "C" 1
"517" "Nie" "C" 1
"518" "Może" "C" 1
"519" "Nie" "C" 1
"520" "Może" "C" 1
"521" "Może" "C" 1
"522" "Nie" "C" 1
"523" "Może" "C" 1
"524" "Tak" "C" 1
"525" "Nie" "C" 1
"526" "Tak" "C" 1
"527" "Nie" "C" 1
"528" "Nie" "C" 1
"529" "Nie" "C" 1
"530" "Może" "C" 1
"531" "Tak" "C" 1
"532" "Nie" "C" 1
"533" "Nie" "C" 1
"534" "Może" "C" 1
"535" "NA" "C" 1
"536" "Nie" "C" 1
"537" "Nie" "C" 1
"538" "Nie" "C" 1
"539" "Nie" "C" 1
"540" "Tak" "C" 1
"541" "Nie" "C" 1
"542" "Może" "C" 1
"543" "Nie" "C" 1
"544" "NA" "C" 1
"545" "Może" "C" 1
"546" "Nie" "C" 1
"547" "Nie" "C" 1
"548" "Nie" "C" 1
"549" "Nie" "C" 1
"550" "Nie" "C" 1
"551" "Nie" "C" 1
"552" "Nie" "C" 1
"553" "Tak" "C" 1
"554" "Nie" "C" 1
"555" "NA" "C" 1
"556" "Może" "C" 1
"557" "Nie" "C" 1
"558" "Nie" "C" 1
"559" "Nie" "C" 1
"560" "Tak" "C" 1
"561" "Nie" "C" 1
"562" "NA" "C" 1
"563" "Nie" "C" 1
"564" "Nie" "C" 1
"565" "Tak" "C" 1
"566" "Nie" "C" 1
"567" "Nie" "C" 1
"568" "Może" "C" 1
"569" "Może" "C" 1
"570" "Nie" "C" 1
"571" "Nie" "C" 1
"572" "Nie" "C" 1
"573" "NA" "C" 1
"574" "Nie" "C" 1
"575" "Tak" "C" 1
"576" "Nie" "C" 1
"577" "Nie" "C" 1
"578" "Nie" "C" 1
"579" "Nie" "C" 1
"580" "Nie" "C" 1
"581" "Nie" "C" 1
"582" "Może" "C" 1
"583" "Może" "C" 1
"584" "Nie" "C" 1
"585" "Nie" "C" 1
"586" "Tak" "C" 1
"587" "Nie" "C" 1
"588" "Nie" "C" 1
"589" "Nie" "C" 1
"590" "NA" "C" 1
"591" "NA" "C" 1
"592" "Nie" "C" 1
"593" "Nie" "C" 1
"594" "Nie" "C" 1
"595" "Nie" "C" 1
"596" "NA" "C" 1
"597" "Tak" "C" 1
"598" "Nie" "C" 1
"599" "Nie" "C" 1
"600" "Może" "C" 1
"601" "Tak" "A" 2
"602" "Tak" "A" 2
"603" "Tak" "A" 2
"604" "Tak" "A" 2
"605" "Może" "A" 2
"606" "Tak" "A" 2
"607" "Tak" "A" 2
"608" "Tak" "A" 2
"609" "Tak" "A" 2
"610" "Nie" "A" 2
"611" "Tak" "A" 2
"612" "Tak" "A" 2
"613" "Tak" "A" 2
"614" "Tak" "A" 2
"615" "Nie" "A" 2
"616" "Tak" "A" 2
"617" "Tak" "A" 2
"618" "Tak" "A" 2
"619" "Tak" "A" 2
"620" "Tak" "A" 2
"621" "Tak" "A" 2
"622" "Tak" "A" 2
"623" "Nie" "A" 2
"624" "Tak" "A" 2
"625" "Tak" "A" 2
"626" "Tak" "A" 2
"627" "Tak" "A" 2
"628" "Może" "A" 2
"629" "Może" "A" 2
"630" "Nie" "A" 2
"631" "Tak" "A" 2
"632" "Tak" "A" 2
"633" "Tak" "A" 2
"634" "Nie" "A" 2
"635" "Może" "A" 2
"636" "Może" "A" 2
"637" "Tak" "A" 2
"638" "Tak" "A" 2
"639" "Może" "A" 2
"640" "Tak" "A" 2
"641" "Tak" "A" 2
"642" "Tak" "A" 2
"643" "Może" "A" 2
"644" "Tak" "A" 2
"645" "Może" "A" 2
"646" "Może" "A" 2
"647" "Tak" "A" 2
"648" "Tak" "A" 2
"649" "Tak" "A" 2
"650" "Tak" "A" 2
"651" "Może" "A" 2
"652" "Tak" "A" 2
"653" "Tak" "A" 2
"654" "Tak" "A" 2
"655" "Może" "A" 2
"656" "Może" "A" 2
"657" "Może" "A" 2
"658" "Tak" "A" 2
"659" "Tak" "A" 2
"660" "Tak" "A" 2
"661" "Tak" "A" 2
"662" "Tak" "A" 2
"663" "Może" "A" 2
"664" "Nie" "A" 2
"665" "Tak" "A" 2
"666" "Może" "A" 2
"667" "Tak" "A" 2
"668" "Tak" "A" 2
"669" "Tak" "A" 2
"670" "Może" "A" 2
"671" "Tak" "A" 2
"672" "Tak" "A" 2
"673" "Tak" "A" 2
"674" "Tak" "A" 2
"675" "Może" "A" 2
"676" "Może" "A" 2
"677" "Może" "A" 2
"678" "Tak" "A" 2
"679" "Tak" "A" 2
"680" "Tak" "A" 2
"681" "Tak" "A" 2
"682" "Tak" "A" 2
"683" "Tak" "A" 2
"684" "Tak" "A" 2
"685" "Tak" "A" 2
"686" "Tak" "A" 2
"687" "Tak" "A" 2
"688" "Tak" "A" 2
"689" "Może" "A" 2
"690" "Może" "A" 2
"691" "Może" "A" 2
"692" "Tak" "A" 2
"693" "Tak" "A" 2
"694" "Tak" "A" 2
"695" "Tak" "A" 2
"696" "Tak" "A" 2
"697" "Tak" "A" 2
"698" "Tak" "A" 2
"699" "Nie" "A" 2
"700" "Tak" "A" 2
"701" "Tak" "A" 2
"702" "Tak" "A" 2
"703" "Może" "A" 2
"704" "Tak" "A" 2
"705" "Tak" "A" 2
"706" "Tak" "A" 2
"707" "Tak" "A" 2
"708" "Tak" "A" 2
"709" "Tak" "A" 2
"710" "Może" "A" 2
"711" "Tak" "A" 2
"712" "Może" "A" 2
"713" "Tak" "A" 2
"714" "Tak" "A" 2
"715" "Tak" "A" 2
"716" "Może" "A" 2
"717" "Może" "A" 2
"718" "Tak" "A" 2
"719" "Tak" "A" 2
"720" "Może" "A" 2
"721" "Może" "A" 2
"722" "Tak" "A" 2
"723" "Tak" "A" 2
"724" "Może" "A" 2
"725" "Tak" "A" 2
"726" "Może" "A" 2
"727" "Tak" "A" 2
"728" "Tak" "A" 2
"729" "Tak" "A" 2
"730" "Tak" "A" 2
"731" "Tak" "A" 2
"732" "Tak" "A" 2
"733" "Nie" "A" 2
"734" "Tak" "A" 2
"735" "Nie" "A" 2
"736" "Tak" "A" 2
"737" "Tak" "A" 2
"738" "Nie" "A" 2
"739" "Nie" "A" 2
"740" "Tak" "A" 2
"741" "Może" "A" 2
"742" "Może" "A" 2
"743" "Tak" "A" 2
"744" "Tak" "A" 2
"745" "Tak" "A" 2
"746" "Tak" "A" 2
"747" "Nie" "A" 2
"748" "Tak" "A" 2
"749" "Tak" "A" 2
"750" "Tak" "A" 2
"751" "Tak" "A" 2
"752" "Tak" "A" 2
"753" "Może" "A" 2
"754" "Może" "A" 2
"755" "Tak" "A" 2
"756" "Może" "A" 2
"757" "Tak" "A" 2
"758" "Tak" "A" 2
"759" "Tak" "A" 2
"760" "Tak" "A" 2
"761" "Tak" "A" 2
"762" "Może" "A" 2
"763" "Może" "A" 2
"764" "Może" "A" 2
"765" "Tak" "A" 2
"766" "Tak" "A" 2
"767" "Może" "A" 2
"768" "Tak" "A" 2
"769" "Może" "A" 2
"770" "Tak" "A" 2
"771" "Tak" "A" 2
"772" "Tak" "A" 2
"773" "Może" "A" 2
"774" "Może" "A" 2
"775" "Tak" "A" 2
"776" "Może" "A" 2
"777" "Tak" "A" 2
"778" "Może" "A" 2
"779" "Tak" "A" 2
"780" "Tak" "A" 2
"781" "Tak" "A" 2
"782" "Tak" "A" 2
"783" "Może" "A" 2
"784" "Tak" "A" 2
"785" "Tak" "A" 2
"786" "Tak" "A" 2
"787" "Tak" "A" 2
"788" "Nie" "A" 2
"789" "Tak" "A" 2
"790" "Może" "A" 2
"791" "Może" "A" 2
"792" "Tak" "A" 2
"793" "Może" "A" 2
"794" "Nie" "A" 2
"795" "Może" "A" 2
"796" "Nie" "A" 2
"797" "Może" "A" 2
"798" "Tak" "A" 2
"799" "Tak" "A" 2
"800" "Tak" "A" 2
"801" "Nie" "B" 2
"802" "Tak" "B" 2
"803" "Nie" "B" 2
"804" "Może" "B" 2
"805" "Nie" "B" 2
"806" "Może" "B" 2
"807" "NA" "B" 2
"808" "Nie" "B" 2
"809" "Tak" "B" 2
"810" "Tak" "B" 2
"811" "Nie" "B" 2
"812" "Nie" "B" 2
"813" "Tak" "B" 2
"814" "Może" "B" 2
"815" "NA" "B" 2
"816" "Nie" "B" 2
"817" "Nie" "B" 2
"818" "Może" "B" 2
"819" "Tak" "B" 2
"820" "Nie" "B" 2
"821" "Tak" "B" 2
"822" "Tak" "B" 2
"823" "Tak" "B" 2
"824" "Tak" "B" 2
"825" "NA" "B" 2
"826" "Nie" "B" 2
"827" "Tak" "B" 2
"828" "NA" "B" 2
"829" "Może" "B" 2
"830" "Nie" "B" 2
"831" "Może" "B" 2
"832" "Tak" "B" 2
"833" "Tak" "B" 2
"834" "Może" "B" 2
"835" "Tak" "B" 2
"836" "Nie" "B" 2
"837" "Tak" "B" 2
"838" "Nie" "B" 2
"839" "Nie" "B" 2
"840" "Może" "B" 2
"841" "Tak" "B" 2
"842" "NA" "B" 2
"843" "NA" "B" 2
"844" "Nie" "B" 2
"845" "Tak" "B" 2
"846" "Tak" "B" 2
"847" "Tak" "B" 2
"848" "Tak" "B" 2
"849" "Tak" "B" 2
"850" "Tak" "B" 2
"851" "Tak" "B" 2
"852" "Tak" "B" 2
"853" "Tak" "B" 2
"854" "Tak" "B" 2
"855" "Tak" "B" 2
"856" "Nie" "B" 2
"857" "Nie" "B" 2
"858" "Tak" "B" 2
"859" "Tak" "B" 2
"860" "Tak" "B" 2
"861" "Tak" "B" 2
"862" "Tak" "B" 2
"863" "Nie" "B" 2
"864" "Nie" "B" 2
"865" "Tak" "B" 2
"866" "Nie" "B" 2
"867" "Tak" "B" 2
"868" "Tak" "B" 2
"869" "NA" "B" 2
"870" "Tak" "B" 2
"871" "Nie" "B" 2
"872" "Nie" "B" 2
"873" "Tak" "B" 2
"874" "Tak" "B" 2
"875" "Nie" "B" 2
"876" "Nie" "B" 2
"877" "Nie" "B" 2
"878" "Tak" "B" 2
"879" "Tak" "B" 2
"880" "Może" "B" 2
"881" "Tak" "B" 2
"882" "Tak" "B" 2
"883" "Nie" "B" 2
"884" "Nie" "B" 2
"885" "Nie" "B" 2
"886" "Tak" "B" 2
"887" "Tak" "B" 2
"888" "Może" "B" 2
"889" "Tak" "B" 2
"890" "Nie" "B" 2
"891" "Tak" "B" 2
"892" "Może" "B" 2
"893" "Tak" "B" 2
"894" "Tak" "B" 2
"895" "Nie" "B" 2
"896" "Nie" "B" 2
"897" "Nie" "B" 2
"898" "NA" "B" 2
"899" "NA" "B" 2
"900" "Tak" "B" 2
"901" "Tak" "B" 2
"902" "Nie" "B" 2
"903" "Nie" "B" 2
"904" "Nie" "B" 2
"905" "Nie" "B" 2
"906" "Może" "B" 2
"907" "Nie" "B" 2
"908" "Nie" "B" 2
"909" "Tak" "B" 2
"910" "Nie" "B" 2
"911" "Tak" "B" 2
"912" "Tak" "B" 2
"913" "NA" "B" 2
"914" "Tak" "B" 2
"915" "Tak" "B" 2
"916" "Tak" "B" 2
"917" "Tak" "B" 2
"918" "Tak" "B" 2
"919" "Tak" "B" 2
"920" "Nie" "B" 2
"921" "Nie" "B" 2
"922" "NA" "B" 2
"923" "Tak" "B" 2
"924" "Tak" "B" 2
"925" "Nie" "B" 2
"926" "Może" "B" 2
"927" "Tak" "B" 2
"928" "Tak" "B" 2
"929" "Nie" "B" 2
"930" "Tak" "B" 2
"931" "Tak" "B" 2
"932" "Nie" "B" 2
"933" "Tak" "B" 2
"934" "Tak" "B" 2
"935" "Tak" "B" 2
"936" "NA" "B" 2
"937" "Nie" "B" 2
"938" "Nie" "B" 2
"939" "Nie" "B" 2
"940" "NA" "B" 2
"941" "Może" "B" 2
"942" "Nie" "B" 2
"943" "Tak" "B" 2
"944" "Tak" "B" 2
"945" "Tak" "B" 2
"946" "Nie" "B" 2
"947" "Tak" "B" 2
"948" "Może" "B" 2
"949" "Może" "B" 2
"950" "Nie" "B" 2
"951" "Nie" "B" 2
"952" "Nie" "B" 2
"953" "NA" "B" 2
"954" "Tak" "B" 2
"955" "Nie" "B" 2
"956" "Tak" "B" 2
"957" "Tak" "B" 2
"958" "Nie" "B" 2
"959" "Może" "B" 2
"960" "Może" "B" 2
"961" "Tak" "B" 2
"962" "Tak" "B" 2
"963" "Nie" "B" 2
"964" "Tak" "B" 2
"965" "Nie" "B" 2
"966" "Tak" "B" 2
"967" "Nie" "B" 2
"968" "Tak" "B" 2
"969" "Tak" "B" 2
"970" "Może" "B" 2
"971" "Może" "B" 2
"972" "Nie" "B" 2
"973" "Tak" "B" 2
"974" "Tak" "B" 2
"975" "Nie" "B" 2
"976" "Tak" "B" 2
"977" "Nie" "B" 2
"978" "Tak" "B" 2
"979" "Tak" "B" 2
"980" "Tak" "B" 2
"981" "Nie" "B" 2
"982" "Nie" "B" 2
"983" "Tak" "B" 2
"984" "Nie" "B" 2
"985" "Może" "B" 2
"986" "Nie" "B" 2
"987" "Nie" "B" 2
"988" "Tak" "B" 2
"989" "NA" "B" 2
"990" "Tak" "B" 2
"991" "NA" "B" 2
"992" "Tak" "B" 2
"993" "Tak" "B" 2
"994" "Tak" "B" 2
"995" "Nie" "B" 2
"996" "NA" "B" 2
"997" "Tak" "B" 2
"998" "Nie" "B" 2
"999" "Może" "B" 2
"1000" "Może" "B" 2
"1001" "Nie" "C" 2
"1002" "Nie" "C" 2
"1003" "NA" "C" 2
"1004" "Nie" "C" 2
"1005" "Nie" "C" 2
"1006" "Nie" "C" 2
"1007" "Tak" "C" 2
"1008" "Nie" "C" 2
"1009" "Może" "C" 2
"1010" "Nie" "C" 2
"1011" "Nie" "C" 2
"1012" "Może" "C" 2
